User,Review Year,Ratings,Review
Brian Chum,2021,5, BEST NEXT GENERATION CONSOLE EVER
Anthony A.,2021,5, Loving it so far!
Abel Ring,2021,5, Awesome
HKG,2021,5," It arrived to Turkey in less than 4 days, just wow!"
Amazon Customer,2021,5, Love the graphics and faster
Zachary Smith,2021,5, I Love It!
Nathan gray,2021,5, Best console ever
Landon,2021,5, Legit 🤗
Victoria B,2020,5, Lucky few
benjamin johnston,2021,5, Love it
Nicholas wilson,2021,5, my greatest purchase
Mohammad F Ghauri,2020,5, Well worth the purchase
Tommie McCabe,2020,5, Next gen is here
maryanne lis,2021,4, Double the actual price
Jeffrey Agnew,2021,5, Hard to get
Juan,2021,5, High quality
Erik Bannister,2020,5," Great Product, with one drawback"
Rey,2021,5, Worth it
Joseph,2021,5," I never use it, maybe later"
Shawn “Marz” Marshall,2021,5, Pretty cool but needs better games
Justin,2021,5, Fast load times. Good graphics. Exclusive games
bbffwilttmabuid,2020,5, It’s worth it!
JDEZ,2021,5, The PS5 is worth twice the price
Eugene,2021,5, Top product
Gra.,2021,5, Lucky to get one.
Kayode Adeola,2021,5, The best one yet!
Thomas McDonald,2021,5, Very happy with results
Tedward,2020,5, Great product! Definitely worth it.
Ahmad Elhajomar,2021,5, Ps5 love it thank you Amazon
Mamadou,2021,5, Beyond Expectations
Joshua Kraak,2021,5, 10 outta 10
Roger Aimable,2021,4, My PS5 Opinion
William Sibert,2021,5, Ipuzzle is a legit 3rd party seller honest.
april sweeney,2021,5, Awesome system
Jesse,2021,5, hand down a good console
Jerrod Robinson,2020,4, Excellent speed and response
Robert Valero,2021,5, Smoother gameplay
Joe,2020,5, PlayStation Strikes Again!!
Dino Raul Becker,2021,5, Perfect console.
Amazon Customer,2021,5, It’s cool
Thomas,2021,5, Long wait worth it
Tobias,2021,5, Truly next gen console
Jessica H.,2021,5, Great quality and fun to play!!!
Andy thao,2021,5, NICE CONSOLE
Jay Lopez,2021,5, Huge box and huge ass console.
Sweet Pea,2021,5, WOW! WOW!
Keegan Thomas Spillane,2021,5," Scalper pricing, but satisfied."
G space,2021,5, Got it
Marvin Bugarin,2021,5, Best console
Skyler L,2021,5, PS5!!!!
julius catalan,2021,4, Good Console
Boburkhan Djumanov,2021,4, Very nice
SAM,2021,5, Best gaming system of all time
Dennis Shaw,2021,5, Best New Console
Amazon Customer,2021,5, Great console!
Damian Rodríguez,2021,5, Gameplay
Jorge Chavez Jerez,2021,5, Amazing!
Heri,2020,5, The controller A1!
Christian Dimilta,2020,5, Worth it if you never wanna speak to him again.
Jonathan Wang,2021,3," Almost impossible to get, but can't deny that it really is a nice console"
capricia lucas,2020,5, Awesome!!!!!!
Faysal Ibrahim,2021,5, Beautifully designed
Amazon Customer,2021,5, Perfect!
Leonardo Canela,2021,5, Fast ship great product!
Kevin D. Rogers,2020,5, The Future of Gaming
Brian,2020,5, Great gaming experience
Kelsey,2021,5, Love it.
Christine Kain Singh,2021,5, Great system
jordan zettel,2021,5, Bad Ass!!!!
Lamonte,2021,5, Best system out!
RMonst3r,2021,5, Worthy upgrade
Arelis,2021,5, Really happy
Alejandro Valdes,2021,5, Envió Rapido
william gerber,2020,4, My thoughts
illiterati,2020,5, Smooth Gameplay
Isiah D. Martin Jr,2021,5, This item is almost impossible to purchase.....anywhere; except Amazon.
Bryan,2021,5, Great
Spain,2021,5, Payed $100 extra for 2 day shipping yet came the very next day
Anthony T,2021,5, Fresh.
Patrick Fagan,2020,5, Worth the money
Perry Ketter Jr,2021,5, It's worth the pay
veritech_13,2021,5, AMAZING GRAPHICS!
Askia Lewis,2021,5, It arrived on time
DaOrgest,2021,5, Great console
Zouhair Graoui,2021,5, Very happy with my ps5 amazing service from amazone
bdt,2021,5, Get one.
josiah b northey,2021,5, The system is worth the money
B. Yost,2021,5, Amazon saved the day!
James Lawlor,2021,5, Stop buying this to scalp it already. Good gracious.
Ed Perez,2021,5, PS5 is Fast
B-ryan SOD,2021,5, The future is HERE
Thomas Tigertail,2021,5, Simply happy
Jason Rodriguez,2021,5, Good console but buzzing is a bit of an issue
Antonio Mendez,2021,5, Got what I paid for
iMacMan,2020,5, Awesome
Jeff A. Elder,2020,5, Definitely faster than the PS4
Kareemafosheema,2021,5, DONT GIVE UP
Parant Family,2021,5, PS5
Rudy Molina,2021,5, Awesome!!
Tobey Cline,2021,5, Hell YEAH!
Jacqueline smith,2021,5, Fastest shipping!
Armando,2021,5, Great console
Michael Shankle,2020,4," Hulking beast of a console, runs great, missing features, and crap dashboard and store"
Amazon Customer,2020,5, LOVE IT!
Daniel C,2021,5, Loving it
AmazonCustomer,2021,4, love it but hate it
James jones,2020,5, It’s great just a bit big
Kindle Customer,2021,5, Bought it for my son's 10th birthday and he loves it!
Jorge Montano Torres,2021,5, Majestic piece of art
Robert,2021,5, great product
Chris Martin,2021,5," If you can get one, do it!"
Amazon Customer,2021,5, Have fun with it
Ray,2021,5, Love it
Matt Ebs,2020,5, Next gen is here. Grab it while you can!
C. Kidd,2021,5, Best one Yet
Dragnoria,2020,5, Worth the Wait.
Amazon Customer,2021,5, Got it just in time for my daughter bday
Alexis Antonio Azuaje Laya,2021,5, It's the best console ever
Marco,2021,5, Excellent
Ahad,2021,5, Short review
John W Graham,2021,5," Amazing console. Fast, quiet, and reliable. Graphics are unbelievable."
Jaliyah Smith,2021,5, Came a day early
Tish,2021,5, It was ok for my first big purchase #satisfied
Chris,2021,5, Worth the wait
Josh M,2021,5, Incredible
Christian,2020,5, Awesome
Bradley,2021,5, Ps5
Nicolas M.,2021,4, Overall Fine but not perfect
N. Burkhardt-Goode,2021,5, Praise
land,2021,5, Great console.
s,2021,5, PERFECT console
Amazon Customer,2021,5, Super fast easy to install yeah u gotta get one of these
Olga,2021,5, Amazing
AcemanWolf,2021,5, AcemanWolf
Elian,2020,5, AMAZING
Talia Wolkoff,2021,5, The Bomb!
Boi,2021,5," Nice, but I like Xbox"
Jared,2020,5, Fast
Paul,2020,5, Dream come true
Diamond Soden,2021,5, Fastest shipped item I was so pleased to receive!
CJ,2021,5, The best thing you probably don't own yet!
K,2021,5, Welcome to next gen
Emmanuel,2021,5, Love it
rainman,2020,5, Best console ever
Shaunta,2021,5," Legit, on time, and great condition."
Jerome Clyburn,2021,5, PS5
Zapz,2021,4, Finally got the best console 2021
Dayne Ramtahal,2021,5, Package weight is approximately 16lbs
Ibrahim Callwood,2021,5, Best console ever.
MichStangGuy,2021,5, As advertised!
Madan Gandavadi,2021,5, Ehh
Vy Do,2021,5, It’s cool.
Kangster,2021,5, what more to boast? ps > xbox
Jrsnkrs89,2021,5, PS5
paula marquis,2021,5, The PS5 is worth the time to get it
James,2021,5, It's completely real and I enjoy it
Amazon Customer,2021,5, Took a long time for it to show in Amazon but worth the wait
josem,2021,5, Worth the hype
Ray G,2021,5, Can’t believe I actually got it
Justin Bryan Siao,2020,5, Amazon Experience
Brenda bernardoni,2021,5, Love it
abner,2021,5, Es mucho más rápido que un ps4 perfecto
Deadstocked Soles,2021,5, Super Fast Shipping + Billing issue fixed
Chana Hymowitz,2021,5, What else is there to say?
Gamesforme,2021,5," Great system, amazing speed and graphics"
Allison,2021,5, Excellent graphics
Amazon Customer,2021,5, Excelente! La. Entrega el día que indicaban !
Paying Customer,2021,4, Delivered on time with no issues other than price
Quentin J.,2021,5, That New New. Get you one (If you Can)
Otoniel,2020,5, Awesome console
Chris_Mijit on tiktok,2021,4," just wait, youre not missing much"
Nick Scangarella,2021,5, Super stoked I was able to grab one of these!
Brandon Thompson,2021,5, Great Product.
Andra Haverstock,2020,4, Needs more storage
Daniel Boles,2021,5, Perfect!
Steve,2020,5," So far, Fantastic!"
Destiny,2020,5, Flawless PS5
Albes,2021,5, Great graphics
LeonXie,2021,4, Hard to get!
Dante G.,2021,4, Pretty good so far.
Joshua Bennett,2021,3, Pay $824.97 ordered the 9th got it 16th. + 400bucks to the price. Just the system
CW,2021,5, Excellent with no defects
CHRIS,2021,5, Amazon came through
alyssa,2020,5, Preforms amazing
Chivas Kimber,2020,5, Woooooooooooow!
V,2021,5, AMAZING if you can get your hands on one
anthony bradley,2021,5," Smooth, easy transaction FAST SHIPPING!"
kenneth snyder,2021,5, Exactly what I ordered.
Maaz Chester,2021,3, Its good but not great
Desiree,2020,5, Greatness
Mohammed Ridha Abdulmonnem,2021,5, I got it finally
Joseph,2021,4, Amazing but pricey
jesse,2021,5, PS5
TRUE,2021,3, Great console but defected controller
mknight2059,2020,5, Next gen is here
Alton,2020,5, Best Console of 2020
Bernardo J Sein,2021,5, So far An excelent console.
patrick hasson,2021,5, Better get one
Eric Parker,2021,5, Must have
Chris S,2020,1, Never Buying A Console From Amazon Again
james,2021,5, Money's Worth
Amano Chan,2021,5, Don't camp in COD.
Dylan D,2020,5, Top Gaming System
Stacey,2021,5, Very happy with my purchase
Mike McKenzie,2021,5, PlayStation 5
Nicholas Chan,2020,5, PLAYSTATION 5 LETS GOOOOOO!
jonathan poo,2021,5, No complaints with the shipping or product.
LT,2021,5, Amazing graphics
Music Mode,2021,5, Just in time
RICK,2020,5, The Future is Now
Dejanelle W.,2021,5, PS5 - Love It
Arvind Searwar,2021,5, Next Gen is here.
Mark D,2020,5, The bomb
Hayden Kowalchuk,2020,5, Excellent console and fantastic value!
Devon,2021,5, Amazing!
Chelsea Sims,2021,5, Great System
Justin Wiley,2021,5, Best Console
Chris Bailey,2021,5, FINALLY!!!!!!
yancey vazquez,2021,5, THE GREAT PS5
David Cruz,2021,5, Perfect
sully,2021,5, Must buy product
mike,2021,3, Disk Feeder Doesn't Work
Jamie Lea,2021,5, Fast shipping
Jeffrey Castro,2021,5, Ps5 nextgen gaming at its best
Armando Ramirez,2021,5, Best console
Meagan & Michael,2021,5, This console is excellent.
kristina,2020,5, THANK YOU!
Philip Fernandes,2021,5, PlayStation 5
Kenneth E. Evans,2020,5, Next Generation Gaming
George M,2021,5, Persistence.....
morghan,2021,5, Great graphics
Ashley Likens,2021,5, Worth it
Joshua Martinez,2021,5, Next Gen is amazing!
Drew,2021,5, Absolutely Fantastic
albert cruz,2021,5, Must have for gamers
ZAPP,2021,4," lOVE IT, BEST CONSOLE EVER MADE"
Amazon Customer,2021,5, The console and controller
Jorge Alas,2021,5, Beating the PS4
Kasey parker,2021,5, Great
Juan V,2021,5, Great console
Jamie Lazarian,2021,5, Excellent
Edgar R.,2021,5, Consola funciona perfecto
A Chan,2021,5, Best console on the market for me
Abraham Hartsock,2021,5, I have been trying to get this forever!
LJ,2020,4, Crashed
Evan,2021,5," Great, but large console."
Roland Mayer,2020,5," Incredible Console, Excellent Controller"
Amr Lotfy,2021,4, Good but not as expected
Amazon Customer,2020,5, Delivered on time and no issues so far
Zack,2021,5, Best console!
SUnny,2021,5, Ps5 is love
SZ,2021,5, Worth the wait
Nick,2020,5, Amazing console
Nick,2021,5, Size
Cody James,2021,5, Fastest loading times I've ever seen
VaL Cabrera,2021,5, Super happy
Andre M.,2021,5, Love it!
Mamirali,2021,5, Fantastic console
Amazon Customer,2021,5, Awesome service.
Jed Wright,2021,5," Incredible console, needs better/longer HDMI cable."
Destiny,2021,5, PS5
Tobes Frsthuber,2021,5, Next gen console
Stacie S.,2021,5, Lightening speed!
Emasts,2021,5, So much fun
Leo Kotov,2021,5, Great
Mar,2020,5, Handled with care!!
Mitchell L,2020,5, Best Playstation Yet
Chrissy,2020,5, I LOVE MY PS5!
Jordan Centeno,2021,4, Consola de siguiente generacion
Cheng-Yu Chiang,2021,5, Quality
Ryan Clarke,2020,5, It's Beautiful
Amazon Customer,2021,5, Worth the money
Elias Martinez,2020,5, Great Console!
Amazon Customer,2020,5, The PS5 feels like next gen
Julian V,2021,5, Meets expectations
Almeida,2020,5, The Most Exciting Console Ever
Cassandra Davenport,2020,5, PS5 is the way to go
jon13jc,2021,5, MSRP for the win and down with scalpers!
Dojo,2021,5, It's an amazing console
Laurie,2021,5," So l33t, I love fragging newbs"
RLC,2020,5, Top Tier Console!
Denys Hluskyi,2020,5, Your wife will not be happy
Julius,2021,5, It’s legit MF !
Letoya Almanza,2021,5, FINALLY GOT A PS5
Daniel Perez,2021,5, Next Generation Console
Pravar,2021,5, Great console
Ahmed Yousaf,2020,5, PS5
cade,2021,5, Worth The retail price.
Lily,2020,5, Really enjoyed the smoothness of this gaming experience
LaSelle,2021,5, Big difference from PS4 to PS5
Takeo Suzuki,2021,3, Great software but bad hardware
PnutShells,2021,5, Great System
Willloki,2021,5, finally got a ps5!
Efrain C.,2021,5, Fast Shipping
David Tramble,2021,5, Ecstatic
Edmond Klein,2021,5, Great product
Viju,2020,5, The next-gen gaming system you need
Melissa Ortega,2021,5, BEAUTIFUL and amazing console!!!
Amazon Customer,2020,5, Playstation 5 10/10
drew whaley,2021,5, Great NextGen System
Dale Venderez,2020,5, Leaps And Bounds Over Last Generation
BruceWayne,2021,5, Gaming
CommonConsumer,2020,5, This is the beginning of something incredible...
Matt,2021,5, I love Amazon and my new PS5!
Jocelyn Rodriguez,2020,5, Great console
Eduardo,2021,5, My boy Bezos
AmazonUser,2021,5, Get it
Dorothea C. Belcher,2021,5, Bigger than ps4
Ian,2020,5, Best console to date
Michelle Harvell,2021,5, Exactly what I ordered.
Manny leon,2020,5, PS5
terra,2021,5, Best System Out
Chairna Arnold,2021,5, It speaks for itself.
Guy2,2021,5, This was the 12/29 Drop.
Wesley,2021,5, AMAZING
Michael P,2021,5, Highly satisfied customer.
Guoluan Lin,2021,5, great product
Yadiel,2021,5, Can I give the the 10×
David,2021,5, Great console ever
AVMQT28,2021,5, Great ps5 son super happy
VVV,2021,5, Better than Xbox
Austin,2021,5, Greatness
VVV,2021,5, Best console!
Christopher P.,2021,5, Love it!
Rachel,2021,5, Awesome!
Tony,2021,5, A+
bobby largesnake,2021,5, Very happy
Callie German,2020,5, Will sell to highest bidder
Albert Lara Bernabe,2021,5, Hard but in my hands
Jesse Altergott,2021,5, Good system
Bryan,2020,5, I got 99 problems but getting a PS5 isn't one
Amit Hasky,2021,5, Amazing unit
Amale,2020,5, Impressively fast.
David P.,2021,5, Great Gaming Console
esco,2021,5, Amazon Console for the Family!!
katia,2021,5, be patient and get it for retail price
Antwain love,2021,5, Good product 5star
Shahida,2021,5, Worth every penny!
Darrius,2021,5, Amazing
mazhar,2020,5, SONY’S BEST WORK YET!!!
Curtis Mckinney,2021,5, Yurp
EG,2020,5, Great Console
Dawn,2021,5, Fantastic no matter the price
Patti Mallette,2021,5, Love it!
Junior,2021,5, Great buy
Muhammad Maaz Nasir,2021,5, Amazing Console
PeterSerrano,2021,5, Very good Console 👍
Calicoolguy,2020,5, Ps5 good to go
Gary Bates,2021,5, Got a good new PS5.
Mary Franklin,2021,5, My family loves our PS5.
A P,2021,5, Ps5
William Castillo,2021,5, Really please with Hunter’s customer service.
Rodrigo Gonzalez,2021,5, Amazing graphics with 1.5 second loadtime on MK11
Elvin Rosendo,2021,5, Elvin Rosendo
Drake Powell,2020,5, My what a big system
Candace,2021,5, Ps5
Andrew Valentino,2021,5, Great console
Amazon Customer,2021,5, A+
luis,2021,5, Perfect
Stefan,2021,5, Arrived Safe Love My Console
STEVEN MONTY,2021,5, I flipped it.. Made 4 hundred Thanks Amazon!
R. Wesley Pinkston,2021,5, Great console
atl1dxg,2021,5, Awesome
Amazon Customer,2021,5, The best next gen console
Jasmine Jones,2020,5, This Is Next Gen it’s huge but it’s great
Brandon,2021,5, Next-Gen is legit
Blake Smith,2020,5, Amazing.
Janet,2020,5, Amazing
Rich,2021,5, Siiiick!
Deja & Rick Fraser,2021,5, Great
Joel,2020,5, I love the new system!
Wayne M.,2021,5, Must have for a complete family entertainment .
J. Manon,2020,5, Love my PS5
Mike,2021,5, great product
jcrangel81,2021,5," It's a PS5, of course it's awesome"
harold,2021,5, GREAT GAMING SYSTEM
Mr. Serr,2020,5, The PS5 is really fun.
Abe2001,2020,5, PlayStation 5
Tyler Leiss,2020,5, Amazing
Josue M.,2021,5, Awesome
Aaron Medina,2020,5, Went from Xbox one to PS5
Carlos,2021,5, very happy
LELANDER,2021,5, A beautiful buy
steven shi,2021,5, PS forever
Nicole,2021,5, Great Quality!
Eduardo Godinez,2021,5, Easy to Use
Xavier Hall,2022,1, IMPORTANT
Ridge Tawdrous,2020,3, Love the console but bad service
ro-no,2021,5, Must have for new generation consoles.
Tyris Eddings,2020,5, Loving it
Anna Rebhan,2021,5, my son is happy
Sam Tib,2020,5, Sony v Microsoft? Comparing apples to...prunes
Obi-Wan Kenobi,2020,5, Sony Nails it Again
Elderim,2021,5, PS5
Jeri Keegan,2021,5, Great Console
BrownBunch,2021,5, Must have
Geidys,2021,5, In love 😻
Janpaul1997,2021,5, It just work.
GMB706,2021,5, Just what my Son wanted!
Fenil Bodiwala,2021,5, Ps5 is good.
Michael M.,2021,5, PS5 is amazing console
Riley Jefferson,2021,5, Wait to get it at market price.
brian gibson,2021,5, Don’t give up in ordering the PlayStation 5
StaticSquirrel,2021,5, Item is just like described.
Rego Park,2020,5, Best console
Alpgkatl,2020,5, Next Gen has arrived
XLLLLLL,2020,5, Simple. Smooth.
Aaron,2021,5, Great powerful system
Cheyenne K.,2021,5, Worth the wait!
Amazon Customer,2021,5, Love it!
Angel,2021,5, My package arrived a few days earlier than expected!
Susu Chan,2021,5, Nice and cool
Christopher Lolo,2021,5, Runs smooth like butter
Jamison byerley,2021,5, fast
V. G.,2021,5, Fun!
Joshua Powers,2020,5, Godlike
HolyMoly,2021,5, Satisfied
Dalina,2021,5, Buy extra space
Robert c,2021,5, Ps5 is amazing
sagar awasthi,2021,5, Excellent gaming machine
derek pinard,2021,5, Fast
Peedah Pagah,2021,5, Get Spider-Man!
Carter Gregg,2021,5, Fun
sdsydnee,2021,3, Buy extra controllers elsewhere
david segura,2021,5, Awesome
Taylor,2021,5, Love it!
Savannah Friend,2020,5, Next Gen-Gaming has arrived
Is_The_Punisher PlayStation,2021,5, A+ 5* The best product around the 🌎
Carlos Garaicoa,2021,5, Best console ever
Dawn,2021,5, Good company and professional
Nicolas C.,2021,5, Must buy!
LATER T,2021,5, PS5 !!!!!
Amazon Customer,2021,5, Nice console
Dillon hill,2021,5, It’s the real deal.
Aucifer,2020,5, Its everything you would expect coming from ps4
tristan,2020,5, Nice job Sony
Riku Asakura,2021,5, PS5 is the best
Mike D,2021,5, Superb
Darth Spartan,2021,5, Best gaming console ever!
Roman,2020,5, PS5 great console
Preston Lewis,2021,5, Great
Jay,2021,5, Super Happy
DIIVIE,2021,5," Great packaging , beautiful console"
Genoa Campbell,2021,5, Awesome
Boom-SWP,2021,5, Best System Available
Algernon Cokley,2021,5, Thank you very much
peter,2021,5, Masterpiece
justin,2021,5, 🤩
EliteRundas,2021,5, Love It :)
Joshua T.,2021,5, Funciona de maravillas
Christian Garcia,2021,5, Awesome Sauce
Family man,2021,5, Pleasant to deal with
DN,2021,5, Great
Kuro,2020,5," Great Console , Quiet Fan , And Easy to Use"
Zach,2021,5, A new generation worth the money
Zain,2021,5, THE BAD BOY IS FINALY HERE🤯
Jamsreviews,2021,5, Y’all need a better way of releasing items
Mike,2020,5, Great upgrade from ps4
Amazon Customer,2021,5, A hard working beefcake
M. S.,2020,5, Get it now.
CG,2021,5, Next gen console right here
Brady Muzzey,2020,5, amazing
Daniel,2021,5, Awesome
Dieverse,2021,5, Worth the wait 🙏🏽🙏🏽🙏🏽
victor jamison maciel,2021,5, Easy to Purchase
Tyler Brown,2021,5, Amazing console thanks
Leonardo Contreras,2020,4, Great device
alex bell,2021,5, Happy overall
Walker,2021,5, It will come fast
zafar,2021,5, Need more hard drive space
Ryan S. Wheeling,2021,5, Its a ps5
Rachel,2021,5, borkie
Ernesto,2021,5, Great packaging.
Meredith Schindler,2021,5, Playstation 5 console
nicole s.,2020,5, Playstation 5 Duh!
Dr Gemini,2021,5, LOOOOVE ITTTTT
dan,2020,5, Oh yea! Backwards compatibility
Anonymous,2020,5, Awesome console!
Chengzhangz Li,2021,5, nice product
Big Butler,2021,5, 2021 Bachelor Life
shengjie,2021,5, I love It
Kris Ranuma,2021,5, Got lucky when they email an in stock message
Myke and Kelly,2021,5, Got my PS5!!!
Amazon Customer,2021,5," Great product, fast delivery. Thanks"
Luis E Colon Jr,2021,5, Clean look
smitthi sukchoksirichaiporn,2021,4, Great but box came damaged
God,2021,4, All Good! Just a few nitpicks
Bari Ramires,2021,5, WOOOOHOOOOO!!!!
Miguel Monge,2021,5, Worth it
Jose angeles,2021,5, Best product I ever bought and it worked to perfection
Alicia Abrego,2021,4, Game system is amazing!
Jory Tangalin,2021,5, Great console
crystal lee cotton,2021,5, Game lover
Varun Jayendran,2021,5, So happy
Nathan U,2021,5, Awesome console!
Fabrizio,2021,5, Perfect from the begining
Soundcastle,2021,2, Blue Light of Death
Lenny J,2021,5, Great buy
Edward,2021,4, Love it
Ryan Stanz,2021,5," Works Great, no Issues."
juan,2021,5, Runs fast
De'Aundre,2021,5, Perfect console
Kenny Tran,2021,5, Great product
Chase Moore,2021,5, Great! Worth the price!
Pinksuzy,2021,5, Love the PS5
TC,2021,5, love it
Justin,2021,5, Only buy when it's 499.99
Greg Simon,2021,4, Powerful & Futuristic
Jan,2021,5, Great for gaming..
Katiya McBride,2021,5, We got it !
Black Bear,2021,5, K.O
Gary,2021,5, Yes!!!!!
Sathya R.,2021,5, Worth the hype
no money,2021,5, Love it
Tyler,2020,5, Great Console
Amazon Customer,2021,5, ItZzzzzLiitttt
Arnold Remy Barrios Liendo,2020,5, La sensación de la nueva generación
Andy,2021,5, Amazeballs
Jose Martinez,2021,5, Happy with my purchase
Jess,2021,5, Great!!
utefan,2021,5, You deserve the best.
pablo hernandez,2021,5, La entrega fue estupenda
chi duong,2021,5, Love it!
Chad kopperman,2021,5, I GOT ONE
AjRosado,2021,5, Fast Shipping
Brenna K. Egan,2021,5, Worth the wait.
Lokesh Sai Vattikuti,2021,5, Best gaming machine out in the market
Fernando Banegas,2021,5, It's amazing
aaron giesin,2021,5, On time factory sealed
Amila Kumara,2021,5, Quick Delivery around the globe
william wright,2021,5, Ps5
Honcho Review,2021,5, Ps5 is the best!
A,2021,5, PS5 FTW
Lindsay Bryant,2021,5, Excellent
Ramsey,2021,3, Great upgrade from PS4
Rewat,2020,5, Finally a PS5 - Yes worth the struggle!
Amazon Customer,2020,5, Great start to the next generation of gaming!
Kristine Juntura,2020,5, Perfect
Logan,2020,5, Best gaming console on the planet
Amazon Customer,2021,5, AWESOME!!!!
Quinton Smith,2021,5, Love it
Bryant Hernandez,2021,5, Runs smoothly
Garrett King,2020,5, Lucky and In Love
Terill Ford,2020,5, Very good system
Prime Addict,2021,5, It's a PS5!!!
Amazon Customer,2021,5, Hard to get! you will see why once you get one
Michael T. Schefers,2021,5, Bought at the suggested retail price.
Antretz Mcdowell,2020,5, Its good working console
Amazon Customer,2021,5, Perfect
Hezekiah Taylor,2020,5, Freaking Awesome!
Erik Baran,2021,5, PS5 is crazy!!!!!
Temora Calloway-Jones,2021,5, He's happy. Late Christmas gift
Karen,2021,5, Great new PS system
Little man Big,2021,5," Came in one piece, no damage"
Mike,2021,5, PS5
Tyson Fitzgerald,2021,5, This is my 25th purchased Ps5
Amy weir,2020,5, Good console
Josue Gonzalez,2021,5, super fast shipment. came exactly as described!!!
Edwin Soto Santiago,2021,5, No problem 👍🏽
Sebastian Zamudio,2020,5, Best console ever made.
todd woodley,2021,5, Very Nice
Justin Lopez,2021,5, Ps5
Axel,2021,5, Performance
Greg M,2021,5, As Great As Advertised
J. S.,2021,5, Excellent
Sael,2021,5, Gamer’s dream
Maurice Washington II,2021,5, Best Purchase Ever!
Ahmed Zulkarnine,2021,5, Worth the money
Fredy Hernandez,2021,5, Great console
Mike,2020,5, Trilled!
Courtney K.,2021,5, Awesome
Noel Helms,2020,5, The Future is Now.
Adedotun,2021,5, Really next gen
Snelly,2021,5, Amazing
Steeler fan 90,2021,5, Happy to finally get one.
Justin B.,2021,5, Awesome console
Tyler D Williams,2021,5, Very fast shipping
John T.,2021,5, Perfect
joe,2021,4, Button already starting to stick
Ryan C,2021,5, Incrediballs!!
Lania,2021,5, Get it while you can
Timothy Morsch,2020,5, Playstation 5
Peanut,2021,5, Great gift
Fernando Valencia,2021,5, Great play system
Raana,2021,5, 3am drop
dans,2020,5, New and exciting
Joel Gacuma,2020,5, Love the ps2
Caliboyizhere,2021,5, AMAZING
Conor Powell,2021,5, Quick n easy
Mark Triviso,2021,5, PS5 ❤️
R. Alexander,2021,5," It's the playstation 5, it's amazing"
Tyler Farrell,2020,5," Awesome, must buy"
Dennis Ryner,2020,5, Amazing!
John Sullenberger,2021,5, This product rocks
Martinez,2021,5, PLAYSTATION5 DISC
spencer,2021,5, love the ragers
troubledsoul,2021,5, Ps5
andy l.,2021,5, Best console 2021
RedArmyLLC,2021,5, ps5
Shawn Bessellieu,2021,5, Nothing was wrong with the game. Was in perfect condition.
Yuval bachar,2020,5, Amazing
James Altgilbers,2021,5, PS5 Exlusives
chris,2020,5, Amazing!
MICHAELÁ,2021,5, Overwhelmed
Kodjo Gnamakou,2021,5," Strong wifi,Great design"
Nardia,2021,5, Gametastic 😊
Terry,2021,4, Good product
Vanessa,2020,5, love it
Demonking1026,2021,5, Decent price under circumstances
Devin Bender,2021,5, Cool
SKS,2020,5, Best console you can buy right now
Raul Velasco,2021,5, Love it...!!
Mattatoullie,2020,5, Great.
Bajro,2021,5, Amazing
Will Ryder,2020,5, PlayStation 5
Edin Selimovic,2021,5, A+
Ray,2021,5, Best console
Antonio Ritti,2021,5, Ps5 Blue ray great product
Shamal Chetty,2021,5, The Future of JRPGs
Timothy D.,2021,5, Works great! Even with my PS4 games.
Justin,2020,5, Me and my son couldn’t be happier!
Rafael Andara,2021,5, Excelent
Ian,2021,5, Fast shipping. All good.
Hannnah Sims,2021,5, PS5 baby!!!
D Hall,2021,5, Best Gaming system
al,2021,4, Expensive
Cristian Tinoco,2021,5, Nice
Adam t,2020,5, 10/10 console
Isaiah,2021,5, Pretty Cool
Hector Diaz Cruz,2021,5, Insane Console
Darek,2021,5, The best on the market
Wafa A.,2021,5, BEST CONSOLE EVER
Douglas H.,2021,5, GAME Changer!
Corey thompson,2021,5, Product 100% Authentic!!!!
Matteo,2021,3," Not worth the money, a bunch of corners cut"
Yu Ling,2021,5, Good look n performance
Christian Moreno,2021,5, Money
Alvin,2021,5, It’s a PS5
Spectra,2021,5, Hehe Got one!!!!
wangruimeng,2021,5, good for gamer
David Silva Jr,2020,5," Fast, Great, Near perfect"
Amazon Customer,2020,5, Perfect
Jay Smith,2022,1, Do not buy!
daniel e acosta salazar,2021,5, gorgeous console
David Carcamo,2020,4, Controller battery
Dwight Danie,2020,5, My friends want to play too!
Loussine,2020,5, Good value
Amazon Customer,2021,5, Great NextGen Console
sandraoseguera,2021,5, Great
Betsy,2021,5, Son is happy
Danny C,2021,5, Love it!
Kevin Pereda,2021,5, LOVEEEE IT
Roger Morris,2021,5, Was delivered a week ahead of schedule
Bharath,2021,5, Loved it
John P. Marden,2021,5, next gen
Fish64,2021,5, Best Gaming System
Lucas Liebman,2021,5, Great product
Robert Smith,2021,3," At least I got it, and it works. But the price...."
rachael,2021,5, Gamer mom
John,2021,5, Dope
Carlos Zelaya,2021,5, Satisfied
Mailman,2021,5, Very good system
Cody Gray,2021,5, Fast and Easy to use!
Kareem Ali,2021,5, Love it!
Dominick,2021,5, It’s worth it
Vincent Cabibbo,2021,5, Worth the wait!
Christopher Bott,2020,5, PS5 Fast!!!
MD,2021,5, It's sick
hayden langelier,2021,5, PS5 is amazing!
Fernando Pinheiro Carvalho,2021,5, It’s a good video game console.
Mark I.,2021,5, Sony did it!
Amazon Customer,2020,4, Ps5 rocks
AR.GEN1,2021,5, Awesome!
