User,Review Year,Ratings,Review
N. Pagador,2022,5," Worth the upgrade, esp for 2017 owners"
matthew,2022,5, Worth the money
Mickey Kim,2022,5, Good for your vision
Sean,2022,5, Should have gotten one sooner!
osman.dolek,2022,5, Perfect!!!
Never Wrong,2022,3, Not worth the upgrade if you own a switch already.
Glenn Reiss,2022,5, Works perfectly.
Alexis Harrison,2022,5, Exceeded Expectations
leah tyson,2022,5, It works great!!
FayeKennett,2022,5, Great purchase
hector hernandez,2022,5, Love it
Allison,2022,5, Nintendo Switch oled Feel the beauty of color
jacob dennis,2022,5, Love the system so far worth every penny
Chris oller,2022,5, Games
B. P. MacFadden,2022,2, Not the US version
Brady Lawson,2022,4, A little overpriced but works great
Samuel,2023,2, Came with Non-US AC Adapter! And the converter sparks!
LameFame,2022,5, Glad to have secured it for the retail price.
Carter,2022,4, Might right joycon has a bit of play compared to the left that tight on there
Amazon Customer,2023,2, Good but not right
Alexandra Cruz,2022,5, I love it!!
Jeff,2022,5," I love it, It looks nicer and the original"
bethanie,2022,5, I love it for free time and streaming!
Coco,2022,5, LOVE IT!
Jay,2022,5, Impressive
Kevin R.,2022,5, Live it
aterry,2022,2, OLED with MIDDLE EAST charging port
Aviatrix,2022,5, Brand new/perfect
R. L. Whalen,2022,5, Nice screen and a good compromise on the size
BeKind92,2022,5, Very light
Aaron Gleason,2022,5, Beautiful screen
Peter Galdamez,2022,4, I love the oled Screen
douglas r.,2022,3," Good console, bad seller"
Kali200,2022,5, I love it
Juju N.,2022,2, Disappointed...
Melanie,2022,5," Bought as a birthday present, for my 12 year old daughter."
Explorer,2022,5, Love mine
Dylan,2022,5, ITS PERFECT!!!
Mark F.,2022,5, Worth the wait!
Brenson Rhea,2022,5, No issues at all
kimber maier,2023,2, Does not plug into U.S. outlets
Luis Saybe,2022,5, Perfect Condition
Franco,2022,4, same switch with some improvements
Stephanie Gordon,2022,5, Fun !!!
yeltsin,2022,5, Great portable and dockable system
Jason Munsterteiger,2022,5, My new favorite console
LIZER4U,2022,5, i got my new switch!
Vanna,2022,5, Arrived safe and sound
Mary Cosgrove,2022,5, Oled Nintendo Switch
Jul,2022,5, Actually got one
Aquinnah877,2022,5," Beautiful visuals, sound; easy to set up, play, and store."
Malik Moore,2022,5, Amazing
Kang Seung-Jeun,2022,5, My Daughter Loves It
Eduardo Serrano,2022,5, Super Love It
Hailey Mensen,2022,5, BEAUTIFUL Screen
Anthony,2022,5, Nintendo Switch Oled
Leo Barthelemy,2022,5, Verry good thank you 😊
Chann C,2022,5, OLED Screen is One of Many Improvements
Wilfred Melgar,2021,5, The screen is magnificent!
Wolf,2022,5," Speedy delivery, terrific console!!"
Kuduka,2022,3," Orange screen, not working but brand new"
John Suarez,2022,5, Recordar es volver a vivir 😃.
Noah Durkins,2022,5, Switch OLED review - it's amazing
Grayson Vance,2022,5," Works great, lots of fun"
david noble,2022,5, Awesome system
Marx Dent,2022,5, It's good that's all you need to know
Richie Rich,2022,4, Nintendo is out of touch
virginia reed,2022,5, Love!
joel,2022,5, The screen is big and beautiful!
I'm all about value,2022,5, Worthwhile upgrade
Sonia,2022,5, Nintendo switch oled model love it
Jessica Smith,2022,5, Worth every penny
Amazon Customer,2022,5, Great
Danny,2022,5, First Time Switch Owner
Oravian,2023,2, Incorrect description
kristen jones,2022,5, Awesome
ramgen,2022,5, Perfect toy for my son
Chris,2022,5, Great product. lots of family fun
John Rue,2021,5," Excellent upgrade, OLED is the way to go"
Jena Crosby,2021,5, Nice
Amazon Customer,2022,4, Great but battery life is terrible
Patrick,2022,5, Big screen
lostblur,2022,2, some improvement. some stagnation. some detriment.
Johnna-rae,2022,5, Very happy with the oled
HOUSTONE,2022,5, DOCK USERS!!!.... be wise and add a screen protector as its easy to SCRATCH
Dmac,2022,3," Picture shows English version, but got japanese."
German Rivera,2021,4, Japan Region work in us
Elizabeth,2022,5, Excelente!
jac03,2022,5, LOVE my Switch OLED
STACY E.,2022,5, Perfect product!
Nadim Ahmed,2022,5, Awesome OLED screen
Drkcharger11,2022,5, Worked perfectly and haven’t had any issues
Jorge,2022,5, Horas de diversión en familia
Wesley,2021,5, Lives up to the hype
Karen S,2022,5, Lots of fun
VICTOR,2022,5, Creat Product
Kimbra,2022,5, Good
jemullins1,2022,5, Great
Ben,2022,5, Love it
Art P.,2022,5, Great!
KJ,2022,5, LOVE IT!!!
Amazon Customer,2022,5, Everything you could expect!
Daniel Signorini,2022,5, Love the new switch
Jasmine Childs,2023,1, This is a Singapore Switch... returned mine immediately
Hector,2021,4, La consola está bien y en su caja.
Lucca,2022,4, Its fine
Amazon Customer,2022,5, Much better screen
Diego Hernandez,2022,5, Better for on the go gaming
In O.C.,2022,5, Works Flawless. Screen is a lot better.
Jace Lash,2022,2, More cons than pros
Gabby Cabell,2023,1, Defective item.
Kae,2022,5, I love it
Denis González Navas,2022,5, Love it :D
Katelynn,2022,5, 🤌🏻
Arliss HB,2022,5, Perfect gift
Amazon Customer,2022,5, Screen colors are amazing
Amazon Customer,2022,5, Smooth motion play
sagethemoewwish,2022,5, Came as described.
E. Reyes,2022,5, Way better than the original
Axel Montes,2022,5, Amazing Present
Yazmyn,2022,5," If you’re thinking about it, do it!"
Juan Santana-Santana,2022,3," It's nice, but sucks it didn't come with the game"
Jared,2022,5, Finally got one
Jesse Sarno,2022,5, Fun!
Nathan,2022,5, What the original should have been
jody walters,2022,5, My grandson loves it!
FoxieThePrincess5,2021,5, It’s works amazing and I love it but…
DAVID M. THREET,2023,1, Middle eastern model!!
Mark Goforth,2022,5, It’s a Switch with a better screen
OreoTeCk,2022,5, Should of bought sooner.
nicolas,2022,4, had an okay experience
Christian Fernandez,2021,5, Arrived just in time for Christmas!
Derek Everett,2022,5, Exceptional
Jonathon Adaskin,2022,5, Works great!
Ruth Motoche,2022,5, Genial!
Jan,2022,5, Amazing graphics!! Love it!!!
Amy wood,2022,5, Worth it
Kelvin,2022,5, Auuu
jorge,2022,5, the best portable console
Joe B,2022,5, Awesome Screen!!!
Amanda Morgan,2022,5, Husbands birthday gift
Erika Reyes,2022,5, Great service
Bryan C.,2022,5, Nintendo did it right
AG,2022,5, everything on this product is amazing
Jeff Adams,2021,5, Great upgrade!
Kashif Robinson,2022,5, Addicting
Cliente de Kindle,2022,5, excellent video game console
Kindle Customer,2022,5, Good purchase
Susan & Brian,2022,3, Wouldn’t recognize games
aron parrales sotomayor,2022,5, Todo Excelente!! 10/10
Hunter Deocampo,2022,5, Well worth it for the OLED screen!!
Ashley Starr,2022,5, Yes!
Vivian,2022,5, love it!
Jordi Ponce,2022,5, Surprisingly good
Olulana kolawole,2022,5, Loving the product
Joseph Garrison,2022,5, Oled
Luis Carlos Pardo,2022,3, Bittersweet experience
stevie,2022,2, not US version. unsealed box
MARINA,2022,4, The box isn’t sealed
Manuel,2022,5, La pantalla grande super nice!!
Davey D,2022,5, Great great great
Jordan Rush,2022,5, Love the bigger screen
LoneRedWolf,2022,3, Price gauged still great product
angela futch,2021,5, Amazon is horrible
J. Jones,2022,3, My last console
Kurtis Nash,2022,5," This is still a Nintendo Switch, only with a gorgeous screen and a better battery."
Tina Hamilton,2022,5, Good Buy
I&N+4,2022,5, Does not come packaged with a game
noidea9008,2022,5, Nintendo Switch OLED
James Haynes,2022,5, A wonderful machine
Joycelyn,2022,5, Best decision ever
Genci Pani,2022,5, Nice
cjh.,2022,5, Major upgrade that's gone unnoticed
Alejandro Castillo,2022,5, La pantalla oled definitivamente te cautiva.
Johan M. Ortega G,2022,5, Excelente producto!
J Enrique M,2022,5, The best
Kindle Customer,2023,1, Scam
Collie_Lover,2022,5, Worth while upgrade.
Kody Nelson,2022,5, Nice
Becca,2022,5, Good product
JM Hopkins,2022,5, Great value for the money
Néstor G.,2022,5," It is a very beautiful console, and it is ideal to get the best price"
Olivia Crain,2022,5, Best Console Ever!
StroberrynCreme,2022,3, Battery life sucks
DLLEN LIU,2021,4," actually, don't think OLED is necessary to buy~"
Ilene O Whitener,2022,5, A great gaming system!
Ursula Lar,2022,5, Great Condition!
Ka Lee,2022,5, Cool
Amazon Customer,2022,5, Best upgrade from OG Nintendo Switch
Tyler Williams,2022,5, AMAZING!!!!!!!!
Kat,2021,5, Loving the screen
Cody Allen,2022,5, Absolutely love ❤️
Asiah Elizabeth,2022,5, Lucky.
Dalvyn Marinez,2022,5, It's very fun!
Amazon Customer,2022,5, Great Game System
bill nye,2022,5, Better switch
Brian Wilde,2022,5, Excatly what i was looking for
Matt,2023,2, Didn't say anywhere it had a eu charger
Poor Soul,2022,3, Too expensive
juannodeb,2022,5, Damaged box but everything else was in excelletn condition
Loreta,2022,4, Gave this as a Christmas gift to my son
Rohan NY,2022,5, It works perfect and tech on time for my 9yo son’s birthday
Susan Bewley,2022,1, Very Disappointing - Never Buying A Nintendo System Again
Jonathan Strickler,2022,5, Perfect
Amazon Customer,2022,3, Switch speakers
Bryan R.,2022,5, Endless fun.
José Miguel,2022,5, Buena consola para entretenerse
Rafael,2022,3, Not 100%
Miguel Angel Guzman,2022,5, Love it
Kevin,2022,3, Delivered to a neighbor’s shed…..instead of my front door.
kevin p.,2022,5, Screen looks excellent
Bobby,2021,5, solid screen
Barbara Calomeris,2022,5, Great Christmas Gift
Amazon girl,2022,5, Awesome!!
kevinbutter,2022,5, really convenient!
Amazon Customer,2022,2, Not for use in the U.S.
Amazon Customer,2022,5, Perfect delivery of a Game system
Alex,2022,5, It is very good i loved it
Josie Villegas,2022,5, Beautiful display
Santiago R.,2022,5, If you have a regular switch don't Buy it
AmoreHaine,2021,5, Got here in 3 days in the middle of December <333
Jorge Beltran Gascon,2021,5, Realmente un buen tiempo de entrega :)
Sarah,2022,5, Works good
Adam W.,2022,5, Worth the upgrade!!!
Fernando Valdez,2022,4, el producto me llego en muy buenas condiciones y esta a un buen precio
Pam B.,2022,5, Awesome
Mary Cantero,2022,5, original price
J-C Martin,2022,5, Bigger and brighter screen
Belen,2022,5, Best purchase for family fun
Erin Scholl,2022,5, I’ve purchased at Retail ($349) DO NOT SUPPORT SCALPERS!
Chantel Savage,2022,5, PERFECT
Linh Tran,2022,5, Love it.
David,2022,5, Delivery Successful
Alex Tyte,2022,5, LOVE IT
Rickie Mendez,2022,5, Great
Mery Velez,2022,5, Muy lindo
Amazon Customer,2021,3, These are used devices
Neptali Rivera,2022,5, AWESOME!
Tetsu,2022,5, Shipment
Jack Lin,2022,5, Great console
ENoland,2022,5, Nice upgrade from normal switch
T.O.P.S,2022,5, Nintendo has out done their self with this one
Jacob Wagstaff,2022,5, Amazing Display
Luis,2022,5, I love it so much thank you Amazon
Shawn,2022,5, Worth it
Fnu Windy,2022,5, Nice
Kimberly Coyer,2022,3, stick drift 3 months in OOF
Neptali Rivera,2022,5, AWESOME!
Tetsu,2022,5, Shipment
Jack Lin,2022,5, Great console
ENoland,2022,5, Nice upgrade from normal switch
T.O.P.S,2022,5, Nintendo has out done their self with this one
Jacob Wagstaff,2022,5, Amazing Display
Luis,2022,5, I love it so much thank you Amazon
Shawn,2022,5, Worth it
Fnu Windy,2022,5, Nice
Kimberly Coyer,2022,3, stick drift 3 months in OOF
Neptali Rivera,2022,5, AWESOME!
Tetsu,2022,5, Shipment
Jack Lin,2022,5, Great console
ENoland,2022,5, Nice upgrade from normal switch
T.O.P.S,2022,5, Nintendo has out done their self with this one
Jacob Wagstaff,2022,5, Amazing Display
Luis,2022,5, I love it so much thank you Amazon
Shawn,2022,5, Worth it
Fnu Windy,2022,5, Nice
Kimberly Coyer,2022,3, stick drift 3 months in OOF
Neptali Rivera,2022,5, AWESOME!
Tetsu,2022,5, Shipment
Jack Lin,2022,5, Great console
ENoland,2022,5, Nice upgrade from normal switch
T.O.P.S,2022,5, Nintendo has out done their self with this one
Jacob Wagstaff,2022,5, Amazing Display
Luis,2022,5, I love it so much thank you Amazon
Shawn,2022,5, Worth it
Fnu Windy,2022,5, Nice
Kimberly Coyer,2022,3, stick drift 3 months in OOF
Neptali Rivera,2022,5, AWESOME!
Tetsu,2022,5, Shipment
Jack Lin,2022,5, Great console
ENoland,2022,5, Nice upgrade from normal switch
T.O.P.S,2022,5, Nintendo has out done their self with this one
Jacob Wagstaff,2022,5, Amazing Display
Luis,2022,5, I love it so much thank you Amazon
Shawn,2022,5, Worth it
Fnu Windy,2022,5, Nice
Kimberly Coyer,2022,3, stick drift 3 months in OOF
Neptali Rivera,2022,5, AWESOME!
Tetsu,2022,5, Shipment
Jack Lin,2022,5, Great console
ENoland,2022,5, Nice upgrade from normal switch
T.O.P.S,2022,5, Nintendo has out done their self with this one
Jacob Wagstaff,2022,5, Amazing Display
Luis,2022,5, I love it so much thank you Amazon
Shawn,2022,5, Worth it
Fnu Windy,2022,5, Nice
Kimberly Coyer,2022,3, stick drift 3 months in OOF
Cameron,2022,5, Better than xbox series x
Briana st.francis,2022,5, Oled
Bryce,2022,5, It’s a switch
Mitchell Johnson,2021,5, Great system
Phantom,2021,5, Recommended!
Jonah,2021,5, Love this!
Bingbong,2022,5, Yes
John Crittenden,2022,5, Love it better than the original
Ryan Jory,2021,5, Wow!
David Moreno,2022,5, Great nintendo
CB,2021,5, BUY IT
Don F.,2022,3, QUE LATA QUE NO VIENE POR LO MENOS CON UN TRISTE JUEGO.
Alex,2021,5, BEAUTIFUL
Yahem,2022,5, Amazing!!!
N. Wright,2021,5, 100% Satisfied
Benjamin,2021,5, Shipped fast!
Dr. Ice,2022,5, Bought as a collector's item
Andy X,2022,5, Good product
AO,2023,1, Needs to say in big bold letters that does not come with Splatoon 3
Tabitha Turner,2021,5, Perfect christmas gift!
Rodney K. Jones,2022,5, Love it!
David,2022,5, I like this one
Aleyxon Guzman,2022,5," Hours of fun guaranteed, and best of all, its portability."
Marvin,2022,5, It just works
rianchaoz,2022,5, Amazing
Magma,2022,2, LAN port doesn't work
Kevin,2022,5, good appearance effect
Quiet Crepe,2022,2, Wifi Chip doesn't work
Amazon Customer,2022,5, Love it
Angela Hernandez,2022,5, Best. Gift. Ever.
Swayden,2021,5, Fantastic
MARIA,2022,5, 👌 Excelente
em21,2022,5, Came as Described
Brandon,2022,5, I Love it
Mrs. KB,2022,5, Amazing little console
Dave,2022,5, Awesome Product
Amazon Customer,2022,5," Fast shipping, easy purchase, no complaints"
Drdoomface421,2022,5, Great portable handheld gaming system
~Maria~,2022,5, good
Elite PC Gaming Panama,2022,5," Exelente producto muy buena calidad, llegó rapidamente"
Anthony,2022,5, oled big screen is so cool
Solomon Watkins,2022,5, Nice
ronnie vega,2022,5, Great price
Keelan Stokes,2022,5, Better game boy lol
Edgar,2022,5, Great product
irene wasonga,2022,5," Quick shipping, packaged well"
TaisaReina,2022,5, My son loves it!
Mario Esparza,2022,5, New Nintendo Switch OLED
Luis,2022,5, Amazing shipping
Barbara,2022,5, Super fun!!!
Safiya,2022,5, My Children love it !
Maher,2022,5, ⭐️⭐️⭐️⭐️⭐️
JM,2023,1, This is not sold with an Original U.S. AC Adapter. Just a heads up
Edward rowe,2022,5, Awesome new look of nintendo switch oled.
Mitchell Ryan Matos,2022,5, Thank you and nice god bless
agustina canessa fortuna,2022,5, Gran consola
Joshua Lane,2021,5, Works Fantastic and Worth it!
Blaine,2021,5, Perfect!
Amazon Customer,2022,5, Oled is the way to go
Zinomaster,2022,5, Met more than my expectations blew my mind as my second switch big difference than the switch lite
Robinson,2022,5, Excelente
edwin hill,2022,5, gamer
Frank Canana,2021,5, Great screen.
Paul S.,2023,2, Articulo Defectuoso
David Mullinax,2023,1, The AC Adapter included will only either be suitable for use in Singapore...
Andrewtyrel,2022,5, Great led
Amanda J,2022,5, So much fun
Billy2656,2021,5, Absolutely loving it.
MARQUEITA,2022,5, GREAT!!!
Shawn Foreman,2022,5, Crisp picture
LINO VILLARROEL,2022,5, Muy bueno
Wilneris,2022,5, BUEN PRODUCTO Y BUENA CUALIDAD
Amazon Customer,2022,5, Brutal !!!
TDalias,2022,2," Day one use, controller drift"
Zhenyang Su,2022,5, Great!
Jay W,2021,5, Wonderful switch
Amber,2021,5, Looks nice
Guy Incognito,2022,2," Two steps forward, two steps back"
Kai,2022,5, its great to upgrade your old switch to OLED
Santiago avila,2022,3, Packaging issues
Kevin Nicholls,2022,5, Great screen and great family fun.
Geiler,2022,5, Recibido sin detalles
Frank,2022,5, Nice product
Shauna,2022,5, So much bigger.
Raynier,2022,5, 10/10
geovany hernandez,2022,5, Nintendo all day
Daniela,2022,5, Es perfecto para jugar es elegante
Amazon Customer,2022,5, It's a switch
Jose Quiroz Chávez Jr,2022,5, Like my new Nintendo switch
NIGHT 🌃 HAWK 🦅,2022,5, 🆗
Carlos gomez,2022,5, Great device
Nick Z,2022,5, decent
WDeloris Wint,2022,5, The individual receiving the gift LOVED it!
phet,2021,5, Beautiful
Ashley,2022,5, Increíble
David,2022,5, Excelent
Amazon Customer,2022,5, Kids love it
lynette vega,2022,5, Good value
Jean Pierre Garrido Hernández,2022,5, Todo original en su caja original
William marrero,2022,5, Llego rápido y en buen estado
David,2022,5, Awesome!
Rahiem Green,2021,5, PS5 and a switch is all you need
bruce,2022,5, New
Gregory Marzoli,2023,1, Complete BS!
Pearl,2022,1, No warranty from Nintendo and avoid OLED.
Jimmy Stuart,2022,2, Everything was great except one joycon
Ethan,2022,5, Love it
DIEGO ANRADE,2022,5, Comprado al precio Justo
Ollie,2022,5, Great
LM,2021,5, Got It !!!
Dylan S.,2021,5, Worth the upgrade!
Fernando I,2021,5, Best Switch to start playing handheld
Erick,2022,5, Great Product.
SBReview,2022,5, Great Gift for my 6 yr old
Jensen,2021,5, Excellent
Nicholas,2022,5, The hype is real.
Jonah Torrez,2022,5, Good mint condition
Nicholas Chislett,2021,5," I got lucky, don't pay more than retail."
Luis Aguirre,2022,2, Mal empaquetado y el producto en si no es el mostrado.
jamela worthy,2022,5, Fast shipping brand new switch console
chip miller,2022,5, Obsessed! It’s great!
miguel lucena,2021,5, Great !
Joshua Tello,2022,5, Muy Feliz
E.S.B,2021,5, loved it
Kindle Customer,2021,5, Colors Poppin
Christo,2021,3, 1 wrist strap
ignacio camargo,2022,5, Beautiful OLED screen !!!! The extra size makes a difference!!!!
Sebastian,2021,5, Good refresh to an aging console.
Rick,2022,5, Love it!
Katy Colon,2022,5, So far good
William R. Fuller,2021,2, I Received The Japanese Version - Not What I Thought I Was Going To Get
Arturo Paz jr.,2021,5, OLED colors are warm and vivid
Vinicius Mendes,2022,3, Joy Controller came with a factory problem
echowave,2022,5, Bright and vivid color.
Luis Romo,2021,5, Beautiful
L. W.,2022,5, Awesome!
Jaime Rodríguez López,2022,5, Hola me gusto mucho nitendo switch oled muy bueno y llego exitosamente muchas gracias
Jefry Ramos,2022,5, It’s arrived earlier than I expected.
Ronny Smith Sr,2022,5, Really good
Udiel Martinez,2022,5, 100% calidad
Yancy Figueroa,2022,5, I am in love with my new switch OLED!! I now have every major game 🎮 system that ever came out!!
meagan,2022,5, Loveeeee
Brandon S,2021,3, Bad Quality Gaming Console and Not worth it
Jacob Merritt,2021,3, Nintendo Does it Again
Zjwillie,2021,5, Amazing
Tammy Nickerson,2022,2, Joy con not working
Francine M. Smith,2022,5, Fun!
Violet.P,2022,5, Easy to setup and very fun to play
Paulina,2022,2, It's a Switch but...
Brenna D Ray,2022,5, As described
Amazon Customer,2022,3, Wrong AC Adapter
Eddy Trevizo,2022,5, Gift
Nick,2022,5, it's a cool item
Zoila C.,2022,5, Very good
Tequesta W,2022,5, Nice color
qhrausx,2022,5, Grate everything
Charles Bronson,2021,5, Somehow in @ $349
Marcos,2022,5, Bigger Screen! Better Battery!
Juscilene pecini de Andrade,2022,5, Love it
Shylagross,2022,5, Awesome
Wenhao Zhang,2021,5, Don’t buy it if it’s not original price!
Mayra.,2022,5, Nice
MN,2022,1, SCAM-Gamin system is for use and sale in another country
Jeff Champagne,2023,2, Unit bought was meant for over seas comes with a travel adapter
Moises Belisario,2022,5," Is bigger than usual, tha quality is way better."
Elias,2022,5, Excelente
Rinpiasss,2021,5, Happt to secure it
Wanda Waite,2021,3, Nintendo box had previously been opened no directions were missing
Carlos Luis Gutierrez Barona,2022,5, Excelente
leonard lopez,2022,5, Love it!
Sebastian,2022,5, Excellent
Mum,2022,5, Amazing product
mattboyrd,2022,1, Not a U.S. model!
Alex Erbach,2022,5, Very epic
Kathy,2022,5, Loved it
Jesús,2022,5," Perfect ! 100% recommended… I bought it and received the next day, easy fast reliable"
Hiro Scott,2022,5, Great console
Fernando. Duarte.,2022,5, Excelente producto 👍🏼
Eduardo Hernandez,2022,5, It’s amazing!!!
Steve Castles,2022,5, Gift
j,2022,3, Shuts down randomly
Daniela Dominguez,2022,5, Todo bien
R.T.,2021,5, Better than the original
Kindle Customer,2022,1, Everything arrived opened and clearly used
parker dixson,2022,5, Great device
Chris,2022,5, So good!
Matthew E. Nottingham,2022,5, Perfect out of the box
Cheyenne Higgs,2022,5, Amazing
Conner G.,2022,5, Perfect
Megan L Durst,2022,5, Highly recommend!!
PnkWarrior,2022,5, Wonderful
Amazon Customer,2021,5, Arrived quickly!!
Ulises Mercado Damian,2022,5, excellent
Hope,2021,5, perfect
Bon Baca,2022,5, Sleek!
Christian Munoz,2021,3," It’s fine, but a little pricey"
Daniel A Norris,2022,2," Ordered New, received used."
karen cordero,2021,5, Cool
Kamel Abou-Jabal,2021,5, Great item
Ruben Reyes,2021,5, Came in as described
Chris H.,2022,2, Need better finished controls
Tammy White,2022,2, Bought new. Got a used model no box. No instructions etc!
William D. Fromal,2022,1, European plug AND wrong color
Amazon Customer,2021,5, Great fun
Tyrone,2021,5, Love it
Jonathan,2021,5, Best gift for my self in a long time
Angelica Mendoza Stacey,2021,5, Perfecto
Josh Hawk,2023,1," Product is used, meant for sale specifically in the UAE Region"
Perla de jesus,2022,5, Llego perfecto 👌 💕
mark a dennis,2021,5, My grandson loved it
Adrián trejo,2022,5, Amazing!! thanks .
Caaq,2022,5, Excelente producto
Mitch M.,2023,1, Absolute garbage
Amazon Customer,2021,5, It looks Great
Darron,2022,5, Great
Kazeem Balogun,2022,5, Loving Pokémon
Tim,2021,3, Seller Shipped Japan Model showing US model on Amazon
Tera,2022,5, Good
HLLEN LOU,2021,5, my little bro like it!
Ahmed Zulkarnine,2021,5, Big Screen love it
Charlene Cherry,2021,5, Son love it!
ilost5sss,2021,3, enjoying
Aaron,2021,3," Really nice, but not worth an upgrade."
Abdiel,2021,5, Amazing console
Bin Zhao,2021,5, Thanks
carlosmcfaline,2021,5, Nintendo switch oled
Jeramy Parrish,2023,1, Battery is DEAD within 2 months
Caitlyn Despres,2021,3, JoyCons Don’t Work when playing games
Heather,2023,1, DO NOT BUY from this distributor
Donna Smith,2021,5, Going to be a Christmas gift
KT,2021,5, Much better than the original
Jesus 420,2021,3, Joycon broken on delivery
Zaida Riley,2023,2, Not made for USA
Tony,2021,3, OLED
AR.GEN1,2021,5, Great!
Amazon Customer,2021,5, Nintendo dreams
Terri Thomas,2022,3, It's litteraly like the old one just a slightly bigger screen
Matthew Evans,2021,5, Awesome Product!!
H & N,2022,3, It was eh
Cindy,2021,5, Awesome
silvana ribera,2021,5, amazing!!!
frank,2021,5, Got it next day my son was so happy
lancelot williams,2021,5, Came earlier than promise and in wonderful condición.
Isaac Retana,2022,1, Always get warranty for electronics
william wright,2021,5, Switch Oled
Daniel,2022,3, The box came all damaged
Amazon Customer,2021,3," Same Internals, which can be slow"
Graham Gutierrez,2021,2, Controllers are cheap
Heythatsmybike,2021,3," Not new, no plastic film on screen"
Heather Holden,2021,5, Love the bigger screen
Luan,2022,2, It didn't work properly. Dock station didn't work good. 30 days to get refund.
FoxDan,2022,2," Nintendo Switch is a great product, but…"
XV123,2022,1, Really?
Gregory Flynn,2022,1, No packaging
Staples,2022,3, Broken joycon
Diana,2021,5, Amazing I love Nintendo
Sydney,2023,1, Wrong AC adapter
Kristin Sheeley,2023,1, Fire hazard while charging!
babyc789,2022,1, Clearly returned refurbished. Also not English.
Cameron Jones,2022,2, Not new or out of the box
Amazon Customer,2022,1, Item received was NOT new
DANIEL BONDOC,2023,1, appears used
Marshell Kindle Customer,2022,2, Not Happy The Way I received my product
Dehdeh,2022,1, It's bricked
Patrick,2022,2," Bought New, Received Used"
BLLEN LIU,2021,3, OLED is not good as what I thought
David DeVita,2022,1, product started malfunctioning 5 moinths after purchase
Collin Laedke,2023,1, DOES NOT SAY YOU’RE GETTING UAE VERSION
WinterSkyeScene,2021,1, Works perfectly but the price is absurd! Damn scalpers!
H,2023,1," Received a console meant for a Foreign Country, birthday gift now put on hold"
Farmer John,2023,1, Not a US version
Christian,2023,1, No Switch console with order??????
Jilly,2023,1, Shocks non stop
Amazon Customer,2022,1, This NOT the US version!!!
kim Hodgson,2023,1, American Power Cords not Included
Christopher Passinault,2022,1, Bought new from Amazon. It was USED.
Comrade,2022,2, Not a factory-new product; previously owned or refurbished
Amazonerd,2022,2, Not a new product
Denise,2023,1, Item is refurbished
S. O'Conor,2022,1, Not OLED
ethans mom,2022,1, NOT A U.S. VERSION
Alexander Bouffard,2023,1, Wrong charger port
Alyssa K,2022,1, Ordered New - It’s NOT new
Brayan Checo Rosario,2022,1, Disappointed with nintendo
William Campbell,2023,1, Package opened with added Asia to North America power adapter
Santas Helper,2023,1, Game was shipped with European charging plugs and no standard chargers.
Dustin,2022,1, The system is already used.
Diego Martins,2022,1, This review is not for the product. It’s for the poor service.
Alejandra cardenas,2022,1, Worst experience ever
Charles A. Kergosien,2023,1, Came with non-compatible charger for US outlets
cycle gal,2022,1, Not USA mod
Amazon Customer,2022,1, Wrong region code
David Thatcher,2021,1," Shipping fast , but Japan version"
Buying Randomly,2022,1, Need an account for everything to play anything
meagen r mcmillan,2023,1, Comes with a power cord not suitable for usa
James B.,2023,1," Poor quality, dead on arrival"
Andres Batista,2022,1, Didn't receive the Nintendo switch console and the Joycon controler set
jocelyn bischoff,2023,1, Not the American version
Joe,2023,1, Used
Nate Troia,2021,1, Came defective
Michael D. Carlisle,2022,1," Bought in ""Good"" condition. Got a Switch that stuck in an error/boot loop."
JaggedJunkie,2023,1, Not for USA
Steven Barnhart,2022,1, Disappointed
Carlos jurgen cobarrubias,2022,2, It was used and not handled with care
Mothy S.Dizz,2022,1, Got a defective system. Overheating while downloading
Amazon Customer,2022,2, Bad delivery
Andy,2022,2, My system was defective and had to send back
Brenda,2023,1, Wrong model.
Amazon Customer,2023,1, model that is not functional in the USA. Japanese model and chargers and cables are not compatible
Ryan Sargent,2022,1," ""For sale and use in Singapore"""
Joseph,2023,5, Looking For Fun? Look No Further
KungFuJosh,2022,1, Junk
Patrick,2022,1, Wrong ac adapter. No support.
ice38024,2023,1, Not New Not OLED
Marcin Gorski,2023,1," Legit Nintendo Product, but I Received Hong Kong Version"
Yeimy,2021,1, Japanese or Chinese model?
xxsimpsxx9,2022,1, Don’t buy from Amazon warehouse
Paul Jefferson,2022,1, My item was defective
Mike,2022,1, Used item at new prices
jan m hanna,2023,1, Do not trust. Open box and used..
MountainColor,2023,1, Came with European power cord
Adam Hoyman,2023,1, Non US Product sold
Scott T,2022,1, They sent an Asia-only version!
Cass,2023,1, Product appeared to be preopened and used. Would give it zero star if possible.
Colin,2023,1, Dead on arrival
Jose baquiax,2023,1, .
Erin,2022,1, Scammed. Wish I could give zero stars
ShutterPanda,2022,1, Wouldn't buy
Christopher Houlihan,2022,1, Not new.
jsg,2023,1, Not meant to be sold in the USA
c alex white,2022,1, Hope it has English
Camille,2023,1, Disappointment
Charles C.,2023,5, The V2 and OLED are the way to go.
"MUY MALA EXPERIENCIA, me llego la caja de una edición especial, solo con cargadores y cable HDMI, SIN CONTROLES Y SIN CONSOLA.",2023,1, No puede ser posible que lleguen pedidos así hasta el cliente
